screen_name,created_at,text,retweet_count,favorite_count,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
seattletimes,2020-05-20T01:18:29Z,"As many furloughed employees begin to return to offices and job sites, they will encounter new coworkers with responsibilities inconceivable before the coronavirus outbreak. Here's are some of the new jobs. https://t.co/rEZUSdLtlc",8,9,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262915564856578048
seattletimes,2020-05-20T00:42:19Z,"All you need is heavy cream, sugar, a Mason jar and strong forearms to make fresh ice cream at home. https://t.co/0bemi4EiDe",4,15,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262906465188225025
seattletimes,2020-05-19T23:47:53Z,"UPDATE: 
A man who police said was carrying a knife or knives was shot and killed by officers Tuesday afternoon near the waterfront in the Lower Queen Anne area.

https://t.co/9UJbHYxSQI",4,5,seattletimes,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Twitter Web App,en,1262892768030085121
seattletimes,2020-05-19T23:37:46Z,"An outbreak on the fringes of the Navajo Nation combined with a small, local hospital’s ill-fated staffing decisions and its well-intentioned but potentially overambitious treatment plans to create a perfect storm. https://t.co/30QeX5X4Eg",6,7,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262890221684875269
seattletimes,2020-05-19T23:20:40Z,"Seattle police said officers are investigating a shooting Tuesday afternoon near the waterfront in the Lower Queen Anne area.

Check back for more information on this developing story.
https://t.co/CT9vckhgdN",0,6,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262885915896274947
seattletimes,2020-05-19T23:06:10Z,"A judge in Cowlitz County has been charged with driving under the influence, and he has agreed to not hear any DUI cases until his case is resolved.
https://t.co/uj3hEZm5A6",2,6,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262882269510995979
seattletimes,2020-05-19T22:49:07Z,"Two years ago, homeless advocates and businesses battled over the head tax debate. Now, as the Third Door Coalition, they’ve united forces. On Tuesday, the group released a new plan to build 6,500 permanent, supportive housing units. https://t.co/DCPztIzOSH",6,6,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262877975848071169
seattletimes,2020-05-19T22:41:16Z,"When Bruce Irvin agreed to a contract with the Seahawks on the day free agency began, he knew he was cementing a return to his ""football home.""

“Getting another opportunity — words can’t explain how much I appreciate it,’’ he said. https://t.co/6fntsZ0bzt",4,22,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262876002193231877
seattletimes,2020-05-19T22:26:51Z,A Virginia family out for a ride to get a change of scenery after being holed up due to the coronavirus found nearly $1 million in two bags lying in the road. https://t.co/WoZCEfcHDj,7,17,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262872374048948224
seattletimes,2020-05-19T22:08:48Z,Looking for some new neighborhood eats? Check out our updating list of Seattle-area restaurant offering delivery and/or takeout. https://t.co/KIrlxmmKAN,1,5,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262867832699850752
seattletimes,2020-05-19T21:49:57Z,"Republican political operatives are recruiting “pro-Trump” doctors to go on television to prescribe reviving the U.S. economy as quickly as possible, without waiting to meet safety benchmarks proposed by the CDC. https://t.co/8n3ToLNJO6",14,18,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262863086245023747
seattletimes,2020-05-19T21:34:38Z,"NEW: Seattle Mayor Jenny Durkan has signed a bill that will require landlords to offer payment plans to residential tenants after the coronavirus emergency. (via @DBeekman)
https://t.co/mVACw6VI0X",18,51,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262859234477252609
seattletimes,2020-05-19T21:10:37Z,Some local transit agencies will begin to reintroduce fares after eliminating payment early in the coronavirus pandemic. https://t.co/6voWKUPPpp,7,1,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262853190573346822
seattletimes,2020-05-19T20:55:51Z,Job listings for the Seattle metro area showed continued weakness in the local labor market as the stay-home order triggered by the coronavirus pandemic kept many businesses closed. https://t.co/6pFQIkH8iT,4,4,,,"Local news, sports, business, politics, entertainment, travel, restaurants and opinion for Seattle and the Pacific Northwest. Subscribe here: https://t.co/sm48xeS8Ko",Echobox,en,1262849474327650305
